Name Country Purpose Altitude Period Mass Year Lifetime
"Gaofen-1-05" "NR (10/18)" "Earth Observation" 695 98.4 805 2018 8
"Gaofen-1-06" "NR (10/18)" "Earth Observation" 647 97.3 1064 2018 8
"GCOM-C" "NR (5/18)" "Earth Observation" 793 100.69 2200 2017 5
"Genesis-1" "USA" "Technology Development" 569 95.6 1360 2006 5
"Genesis-2" "USA" "Technology Development" 586 95.6 1360 2007 5
"Cosmos 2517" "Russia" "Earth Science" 963 104.03 900 2016 5
"GeoEye-1" "USA" "Earth Observation" 686 98.3 1955 2008 7
"GCOM-1" "Japan" "Earth Observation" 704 98.8 1900 2012 5
"Globalstar FM37" "USA" "Communications" 1417 114.1 450 1999 10
"Globalstar M065" "USA" "Communications" 1416 114.1 450 2007 10
"Globalstar M066" "USA" "Communications" 1415 114.1 450 2007 10
"Globalstar M067" "USA" "Communications" 1414 114.1 450 2007 10
"Globalstar M068" "USA" "Communications" 1414 114 450 2007 10
